Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Adventure,Daedalic,34129,6031.0,0.0,0.24,0.0,0.060000000000000005,0.28
Adventure,Daedalic Entertainment,40456,6038.0,0.0,0.11,0.0,0.01,0.14
Adventure,Data East,10023,1998.0,0.0,0.0,0.11,0.0,0.11
Adventure,Datam Polystar,31934,4009.0,0.0,0.0,0.03,0.0,0.03
Adventure,Deep Silver,106724,20095.0,0.63,0.6200000000000001,0.23,0.17,1.6700000000000002
Adventure,Destineer,24019,4020.0,0.16999999999999998,0.0,0.0,0.01,0.18
Adventure,Disney Interactive Studios,139644,58222.0,11.33,4.759999999999997,0.03,1.6300000000000003,17.759999999999998
Adventure,DreamCatcher Interactive,44198,6024.0,0.04,0.04,0.0,0.01,0.09000000000000001
Adventure,Eidos Interactive,51930,10018.0,0.21,0.38,0.0,0.08,0.68
Adventure,Electronic Arts,100669,26060.0,2.5699999999999994,1.6500000000000001,0.08,0.44000000000000006,4.749999999999999
Adventure,Elf,5170,1996.0,0.0,0.0,0.36,0.0,0.36
Adventure,Empire Interactive,42359,6013.0,0.07,0.03,0.0,0.0,0.11
Adventure,Enterbrain,34670,6023.0,0.0,0.0,0.25,0.0,0.25
Adventure,Focus Home Interactive,190958,32184.0,0.4600000000000001,1.2200000000000004,0.0,0.2800000000000001,1.9300000000000004
Adventure,Foreign Media Games,9426,2010.0,0.08,0.04,0.0,0.01,0.13
Adventure,Fortyfive,12271,1998.0,0.0,0.0,0.06,0.0,0.06
Adventure,From Software,9711,1998.0,0.03,0.02,0.07,0.01,0.12
Adventure,FuRyu,45847,6034.0,0.0,0.0,0.060000000000000005,0.0,0.060000000000000005
Adventure,Fuji,14229,1995.0,0.0,0.0,0.03,0.0,0.03
Adventure,Funbox Media,10240,2011.0,0.08,0.02,0.0,0.01,0.11
Adventure,GN Software,46949,6024.0,0.0,0.0,0.05,0.0,0.05
Adventure,GSP,50622,12057.0,0.53,0.9300000000000002,0.0,0.16000000000000003,1.62
Adventure,Gainax Network Systems,10053,1998.0,0.0,0.0,0.11,0.01,0.11
Adventure,Game Factory,31124,8027.0,0.74,0.06,0.0,0.05,0.86
Adventure,GameMill Entertainment,10968,2011.0,0.09,0.0,0.0,0.01,0.09
Adventure,Giga,15884,2014.0,0.0,0.0,0.02,0.0,0.02
Adventure,Global Star,46376,12030.0,0.82,0.38000000000000006,0.0,0.08,1.3
Adventure,GungHo,15740,2008.0,0.0,0.0,0.02,0.0,0.02
Adventure,Gust,10785,2012.0,0.0,0.0,0.1,0.0,0.1
Adventure,HMH Interactive,10360,2009.0,0.0,0.08,0.0,0.02,0.11
Adventure,Happinet,40017,6044.0,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002
Adventure,Headup Games,14333,2013.0,0.0,0.03,0.0,0.0,0.03
Adventure,Her Interactive,14285,2011.0,0.03,0.0,0.0,0.0,0.03
Adventure,Hudson Soft,37054,6017.0,0.11,0.01,0.12,0.0,0.24000000000000002
Adventure,Human Entertainment,18083,3995.0,0.02,0.01,0.24,0.02,0.29000000000000004
Adventure,HuneX,15796,2015.0,0.0,0.0,0.02,0.0,0.02
